,YEAR_op,TECHNOLOGIES,powerCosts_Pvar
0,2040,HydroReservoir,0.0
1,2040,IntercoIn,1244495629.9498475
2,2040,WindOffShore,0.0
3,2040,IntercoOut,-0.0
4,2040,NewNuke,0.0
5,2040,electrolysis_AEL,0.0
6,2040,curtailment,5199783.100401321
7,2040,TAC,0.0
8,2040,OldNuke,1871848084.0825746
9,2040,HydroRiver,0.0
10,2040,CCG_H2,0.0
11,2040,CCG,0.0
12,2040,TAC_H2,0.0
13,2040,Coal_p,-0.0
14,2040,WindOnShore,0.0
15,2040,Solar,0.0
16,2050,HydroReservoir,0.0
17,2050,IntercoIn,1853921568.9914522
18,2050,WindOffShore,0.0
19,2050,IntercoOut,-0.0
20,2050,NewNuke,0.0
21,2050,electrolysis_AEL,0.0
22,2050,curtailment,20171786.91326592
23,2050,TAC,0.0
24,2050,OldNuke,423365675.7813234
25,2050,HydroRiver,0.0
26,2050,CCG_H2,0.0
27,2050,CCG,0.0
28,2050,TAC_H2,0.0
29,2050,Coal_p,-0.0
30,2050,WindOnShore,0.0
31,2050,Solar,0.0
32,2020,HydroReservoir,0.0
33,2020,IntercoIn,-0.0
34,2020,WindOffShore,0.0
35,2020,IntercoOut,-0.0
36,2020,NewNuke,0.0
37,2020,electrolysis_AEL,0.0
38,2020,curtailment,-0.0
39,2020,TAC,0.0
40,2020,OldNuke,6381351069.124815
41,2020,HydroRiver,0.0
42,2020,CCG_H2,0.0
43,2020,CCG,0.0
44,2020,TAC_H2,0.0
45,2020,Coal_p,472547.999089209
46,2020,WindOnShore,0.0
47,2020,Solar,0.0
48,2030,HydroReservoir,0.0
49,2030,IntercoIn,436103986.1075432
50,2030,WindOffShore,0.0
51,2030,IntercoOut,-0.0
52,2030,NewNuke,0.0
53,2030,electrolysis_AEL,0.0
54,2030,curtailment,3660743.9032083484
55,2030,TAC,0.0
56,2030,OldNuke,4028050731.1601205
57,2030,HydroRiver,0.0
58,2030,CCG_H2,0.0
59,2030,CCG,0.0
60,2030,TAC_H2,0.0
61,2030,Coal_p,46959393.775510564
62,2030,WindOnShore,0.0
63,2030,Solar,0.0
